Food,energy,carbs,fiber,sugars,sodium,fat,protein,y_vegetarian,y_diabetic,y_low_sodium
Water,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
Bread (Wholemeal),218.0,42.0,0.0,0.0,0.0,2.5,9.4,1,1,1
Bread (White),236.0,48.7,0.0,0.0,0.0,2.1,8.7,1,0,1
Bun (Currant),280.0,52.6,0.0,0.0,0.0,5.6,8.0,1,0,1
"Bun (White, Plain)",235.0,49.3,0.0,0.0,0.0,1.9,8.4,1,0,1
Bun (iced or sugar glazed),280.0,52.6,0.0,0.0,0.0,5.6,8.0,1,0,1
Roast Paan,365.84882,46.374153,1.7887818,0.0,0.0,16.647764,6.8205833,1,0,1
Bun (Jam),280.0,52.6,0.0,0.0,0.0,5.6,8.0,1,0,1
Bun (Cream),280.0,52.6,0.0,0.0,0.0,5.6,8.0,1,0,1
BUN (Curry filled),0.0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,1
Papadum,369.0,39.1,9.1,0.0,0.0,16.9,17.5,1,1,1
Parata,333.0,45.8,0.0,0.0,0.0,14.4,7.8,1,0,1
Coconut Roti,302.0,48.4,5.1,0.0,0.0,9.8,8.0,1,1,1
Egg Roti,249.7205,43.558193,1.930995,0.0,0.0,4.4794049,7.9308395,1,1,1
"Roti (Wheat, Plain)",343.0,42.9,0.0,0.0,0.0,15.5,6.9,1,1,1
Vegetable Roti,199.0,36.2,3.4,0.0,0.0,4.4,5.8,1,1,1
"Roti (Millet, Plain)",307.0,48.4,5.0,0.0,0.0,11.9,4.6,1,1,1
Dosa (Plain),247.0,26.0,0.2,0.0,0.0,10.3,12.9,1,1,1
Egg Dosa,166.0,10.8,0.395,0.0,0.0,8.5,11.6,1,1,1
Plain Dosa ( with filling),200.99036,36.421577,5.9251046,0.0,0.0,1.8232425,8.5190678,1,1,1
Egg Hoppers,226.0,37.2,1.31,0.0,0.0,5.2,9.9,1,1,1
Hoppers,273.0,55.4,1.8,0.0,0.0,5.2,4.6,1,0,1
String Hoppers (Rice Flour),136.0,32.7,0.9,0.0,0.0,0.3,2.6,1,1,1
String Hoppers  (Wheat Flour),143.0,32.8,0.0,0.0,0.0,0.6,3.7,1,1,1
String Hoppers (Rice & Wheat Flour),132.7139,29.369434,2.349544,0.0,0.0,0.44783998,3.3892999,1,1,1
Beef Kottu,246.0,16.6,1.618,0.0,0.0,17.2,7.3,0,1,1
Egg Kottu,172.0,22.9,1.9,0.0,0.0,7.1,5.7,1,1,1
Chicken Kottu,205.6761627,17.02129555,1.302634358,0.0,0.0,11.14574242,10.13679218,0,1,1
Idli (Millet),288.48639,54.321392,10.364388,0.0,0.0,1.564721,12.151173,1,1,1
Idli (Rice & Dal),301.2085,60.012241,5.1767478,0.0,0.0,1.243006,12.656596,1,1,1
Idli (Semolina),293.66541,55.036095,9.5409269,0.0,0.0,1.020926,14.088119,1,1,1
"Pittu (Millet, with coconut)",277.0,42.5,4.7,0.0,0.0,11.2,4.1,1,1,1
"Pittu (Rice, with coconut)",149.772,32.030521,0.45128199,0.0,0.0,2.082864,2.709414,1,1,1
"Pittu (Wheat, with coconut)",144.2,25.698343,5.0442019,0.0,0.0,2.3216641,4.241714,1,1,1
Uppuma (Tempered with vegetables),174.164,28.364111,4.7573023,0.0,0.0,4.2400651,4.8604593,1,1,1
"Pittu (Rice, without coconut)",147.25259,35.420219,0.0,0.0,0.0,0.35376,2.83008,1,1,1
"Pittu (Rice & Wheat, with coconut)",149.0,30.8,1.4,0.0,0.0,2.1,3.5,1,1,1
"Pittu (Rice & Wheat, without coconut)",143.9962,31.719555,2.6842041,0.0,0.0,0.49331999,3.72559,1,1,1
Thalapa (Millet),119.14,24.956499,4.1292,0.0,0.0,0.65490001,2.6307001,1,1,1
Butter,744.0,0.6,0.0,0.0,0.0,82.2,0.6,1,1,1
Dressing (French),335.0,11.7,0.0,0.0,0.0,32.2,0.3,1,1,1
Ghee,878.0,0.0,0.0,0.0,0.0,97.6,0.1,1,1,1
Margarine,739.0,1.0,0.0,0.0,0.0,81.6,0.2,1,1,1
Yeast Extract,180.0,3.5,0.0,0.0,0.0,0.4,40.7,1,1,1
Manila Tamarind,75.0,13.5,4.4,0.0,0.0,1.1,3.6,1,1,1
"Chili (Green, Fresh)",38.0,5.9,4.8,0.0,0.0,0.7,2.4,1,1,1
"Chili (Red, Dried)",237.0,29.46,31.15,0.0,0.0,6.4,12.69,1,1,1
"Chili (Red, Fresh)",38.0,5.9,4.8,0.0,0.0,0.7,2.4,1,1,1
Chili (Fried),313.20001,25.857,28.052999,0.0,0.0,17.269001,11.412,1,1,1
"Ginger (Fresh, Grated)",44.0,8.1,0.0,0.0,0.0,0.8,1.8,1,1,1
Maldives Fish (Dry),303.0,0.0,0.0,0.0,0.0,6.26,61.32,0,1,1
Chicken Gravy (with coconut milk),186.13269,3.0320685,0.54230189,0.0,0.0,14.093225,11.586333,0,1,1
Coconut Milk Gravy,292.0,7.5,0.0,0.0,0.0,27.9,2.9,1,1,1
Gravy without coconut Milk (Thin),5.9282999,0.92985499,0.55659997,0.0,0.0,0.115198,0.238683,1,1,1
Gravy without coconut Milk (Thick),10.9283,1.911255,0.84060001,0.0,0.0,0.144798,0.41448301,1,1,1
Tomato Sauce,89.0,8.7,1.7,0.0,0.0,5.1,2.5,1,1,1
"Gravy (coconut milk, thin)",256.73489,6.484479,0.36795598,0.0,0.0,24.428389,2.5453432,1,1,1
"Gravy (coconut milk,thick)",339.62851,8.4664869,0.40838802,0.0,0.0,32.381237,3.338927,1,1,1
Fish Gravy,230.0,31.4,7.3,0.0,0.0,6.6,13.4,0,1,1
Fish Gravy (coconut milk),153.0,22.7,0.7,0.0,0.0,7.2,0.7,0,1,1
Potato Gravy,116.90566,11.884914,1.5513738,0.0,0.0,6.7187858,1.8358827,1,1,1
Jam,261.0,69.0,0.0,0.0,0.0,0.0,0.6,1,0,1
Marmalade,261.0,69.5,0.0,0.0,0.0,0.0,0.1,1,0,1
Treacle,257.0,67.2,0.0,0.0,0.0,0.0,1.2,1,0,1
Bee Honey,304.0,82.4,0.2,0.0,0.0,0.0,0.3,1,0,1
Date Chutney,229.0,60.6,0.0,0.0,0.0,0.1,0.3,1,0,1
Sweet Mango Chutney,129.0,32.2,2.2,0.0,0.0,0.6,0.8,1,0,1
Lime Pickle,55.76000214,11.22980022,2.754799843,0.0,0.0,0.377700001,1.014500022,1,1,0
Clear Rasam (no vegetables or dal),23.0,2.6,2.9,0.0,0.0,1.0,1.1,1,1,1
Rasam (with vegetables),25.0543,3.4207509,2.4179299,0.0,0.0,0.76534396,0.85665798,1,1,1
Rasam (with vegetables & dal),88.854301,14.036751,4.5159302,0.0,0.0,0.91934401,5.474658,1,1,1
Chili Sambol,38.0,8.2,0.0,0.0,0.0,0.23,1.3,1,1,1
Chili Sambol (with onion),41.086498,7.991982,2.3907671,0.0,0.0,0.246792,1.488193,1,1,1
Onion Sambol,42.995399,8.5292015,2.426218,0.0,0.0,0.226794,1.473649,1,1,1
Onion Sambol (with oil),220.0,21.3,3.8,0.0,0.0,13.2,5.5,1,1,1
Coconut Sambol (with coconut oil),286.0,6.9,7.2,0.0,0.0,27.6,2.9,1,1,1
Coconut Sambol (without coconut oil),266.0,7.1,7.4,0.0,0.0,25.3,3.0,1,1,1
Fish & Chili Sambol,90.396904,2.5985579,1.515871,0.0,0.0,1.1568199,17.446064,0,1,1
Green Leaf Sambol,146.0,6.5,4.0,0.0,0.0,12.2,2.9,1,1,1
Tomato & Onion Sambol,30.6502,5.5310812,2.047044,0.0,0.0,0.36788201,1.125338,1,1,1
"SCRAPED COCONUT, FRESH, UNSWEETENED",354.0,15.2,9.0,0.0,0.0,33.5,3.33,1,0,1
"HALMASSA ANCHOVY (SPRAT), FRESH, TEMPERED",162.1199,7.403954,3.1937311,0.0,0.0,9.9280233,10.610541,0,1,1
"HALMASSA ANCHOVY (SPRAT), FRESH, TEMPERED, W/ COCONUT MILK",253.0,4.3,1.2,0.0,0.0,21.0,12.1,0,1,1
"HALMASSA ANCHOVY (SPRAT), DRIED, TEMPERED",246.5663,3.4665232,1.31533,0.0,0.0,13.527148,27.46488,0,1,1
"HALMASSA ANCHOVY (SPRAT), DRIED, BOILED, W/ COCONUT MILK",244.0025,4.9229832,1.249688,0.0,0.0,16.487228,18.960007,0,1,1
"HALMASSA ANCHOVY (SPRAT), DRIED, BOILED",215.526,3.251961,1.668628,0.0,0.0,4.800508,39.681572,0,1,1
"HALMASSA ANCHOVY (SPRAT), FRESH, FRIED",257.66,0.0,0.0,0.0,0.0,19.140322,21.216,0,1,1
"HALMASSA ANCHOVY (SPRAT), FRESH, BOILED, W/ COCONUT MILK",206.0,4.3,0.8,0.0,0.0,14.9,13.9,0,1,1
"HALMASSA ANCHOVY (SPRAT), DRIED, FRIED",376.26199,0.0,0.0,0.0,0.0,21.737761,44.91848,0,1,1
"JACK FISH, FRESH, DEEP-FRIED",213.175,1.24125,0.54400003,0.0,0.0,11.8855,24.923,0,1,1
"TREVALLY JACK, FRESH, DEEP-FRIED",213.175,1.24125,0.54400003,0.0,0.0,11.8855,24.923,1,1,1
"JACK MACKEREL, CANNED, TEMPERED",134.82831,2.267751,1.195402,0.0,0.0,7.388051,14.749747,1,1,0
"JACK MACKEREL, CANNED, TEMPERED, W/ COCONUT MILK",208.0,3.2,1.0,0.0,0.0,17.3,10.0,1,1,0
"JACK MACKEREL, FRESH, BOILED, W/ COCONUT MILK",195.0,1.8,0.5,0.0,0.0,14.6,14.2,1,1,1
"SCAD (BOLLA), FRESH, BOILED",65.3395,3.251961,1.668628,0.0,0.0,1.752918,9.3056641,1,1,1
"SCAD (BOLLA), FRESH, BOILED, W/ COCONUT MILK",154.1649,4.1620331,1.36043,0.0,0.0,11.147011,9.4425344,1,1,1
"SCAD (BOLLA), DRIED, TEMPERED",264.22699,5.532794,2.6848149,0.0,0.0,13.517105,30.124569,1,1,1
"SCAD (BOLLA), FRESH, TEMPERED",92.9067,1.564873,1.046944,0.0,0.0,6.0984068,8.0836287,1,1,1
"JACK MACKEREL, FRESH, BOILED AND TEMPERED, W/ COCONUT MILK",208.0,3.2,1.0,0.0,0.0,17.3,10.0,1,1,1
"JACK MACKEREL, FRESH, BOILED",79.561501,3.251961,1.668628,0.0,0.0,2.135818,11.827334,1,1,1
"TREVALLY JACK, FRESH, BOILED, W/ COCONUT MILK",79.0,3.4,1.1,0.0,0.0,1.2,13.8,1,1,1
"SCAD (BOLLA), FRESH, FRIED",195.655,1.24125,0.54400003,0.0,0.0,13.1665,18.230001,1,1,1
"QUEEN FISH, DRIED, TEMPERED, W/ COCONUT MILK",162.1669,3.6249828,1.249688,0.0,0.0,13.42488,6.8137026,0,1,1
"QUEEN FISH, FRESH, DEEP-FRIED",208.575,1.24125,0.54400003,0.0,0.0,10.77,26.51,0,1,1
"EEL, DRIED, TEMPERED, W/ COCONUT MILK",251.34691,3.815783,1.302888,0.0,0.0,15.66808,23.905003,1,1,1
"RAY, FRESH, TEMPERED",98.724304,1.564873,1.046944,0.0,0.0,5.075479,11.661452,1,1,1
"RAY, DRIED, TEMPERED, W/ COCONUT MILK",175.0,4.6,1.6,0.0,0.0,13.8,8.3,1,1,1
"RAY, FRESH, BOILED, W/ COCONUT MILK",160.2849,4.1620331,1.36043,0.0,0.0,10.07091,13.206335,1,1,1
"RAY, DRIED, TEMPERED",262.75378,5.4839292,2.643693,0.0,0.0,13.400931,30.067816,1,1,1
"HURULLA OR KEERAMIN SARDINELLA, FRESH, TEMPERED",253.96001,0.0,0.0,0.0,0.0,21.9984,13.952,1,1,1
"HURULLA OR KEERAMIN SARDINELLA, FRESH, TEMPERED, W/ COCONUT MILK",169.0,4.5,1.3,0.0,0.0,13.1,8.5,1,1,1
"SALAYA SARDINELLA, FRESH, TEMPERED",190.8286,4.836813,2.0946031,0.0,0.0,12.580782,14.537046,1,1,1
"SALAYA SARDINELLA, FRESH, TEMPERED, W/ COCONUT MILK",176.0,4.1,1.2,0.0,0.0,14.6,7.1,1,1,1
"SARDINELLA, DRIED, TEMPERED, W/ COCONUT MILK",190.7552,4.8086963,1.407411,0.0,0.0,15.863411,7.0676069,1,1,1
"SARDINES, CANNED, TEMPERED",203.5186,4.836813,2.0946031,0.0,0.0,13.990782,14.537046,1,1,0
"SARDINES, CANNED, TEMPERED, W/ COCONUT MILK",176.0,4.1,1.2,0.0,0.0,14.6,7.1,1,1,0
"SALAYA SARDINELLA, FRESH, BOILED, W/ COCONUT MILK",144.0,4.1,1.1,0.0,0.0,9.6,10.7,1,1,1
"HURULLA OR KEERAMIN SARDINELLA, FRESH, BOILED, W/ COCONUT MILK",85.0,3.1,0.8,0.0,0.0,4.2,9.0,1,1,1
"SARDINELLA, DRIED, TEMPERED",273.91141,4.6765118,2.4450169,0.0,0.0,19.091057,20.833307,1,1,1
"SHARK, DRIED, TEMPERED, W/ COCONUT MILK",161.2869,3.6249828,1.249688,0.0,0.0,13.08828,7.3626027,1,1,1
"SHARK, FRESH, DEEP-FRIED",206.005,1.24125,0.54400003,0.0,0.0,11.0505,25.026501,1,1,1
"BARRACUDA, FRESH, BOILED, W/ COCONUT MILK",164.87491,4.1620331,1.36043,0.0,0.0,10.67271,12.895235,1,1,1
"SHARK, FRESH, BOILED, W/ COCONUT MILK",70.0,3.4,1.1,0.0,0.0,0.9,12.3,1,1,1
"CATFISH, DRIED, TEMPERED, W/ COCONUT MILK",165.2469,3.6249828,1.249688,0.0,0.0,13.19938,8.0545034,0,1,1
"TILAPIA, FRESH, TEMPERED, W/ COCONUT MILK",153.2587,4.5807047,1.411787,0.0,0.0,10.776002,9.470171,1,1,1
"TILAPIA, FRESH, DEEP-FRIED",252.0,0.0,0.0,0.0,0.0,16.6,25.6,1,1,1
"CARP, FRESH, BOILED, W/ COCONUT MILK",177.62491,4.1620331,1.36043,0.0,0.0,12.42201,12.512734,1,1,1
"CARP, FRESH, TEMPERED",115.2075,1.564873,1.046944,0.0,0.0,7.3104072,11.002125,1,1,1
"CATFISH, FRESH, BOILED, W/ COCONUT MILK",165.8949,4.1620331,1.36043,0.0,0.0,10.871611,12.752435,0,1,1
"CATFISH, DRIED, TEMPERED",283.01901,5.532794,2.6848149,0.0,0.0,14.044325,33.407948,0,1,1
"CATFISH, FRESH, FRIED",224.29361,0.0,0.0,0.0,0.0,14.437351,23.297873,0,1,1
"CARP, FRESH, TEMPERED & BOILED, W/ COCONUT MILK",233.9649,4.4370327,1.36043,0.0,0.0,18.315411,13.061934,1,1,1
"TILAPIA, FRESH, BOILED, W/ COCONUT MILK",96.0,4.2,1.1,0.0,0.0,4.8,9.2,1,1,1
"TILAPIA, FRESH, BOILED",63.698502,3.251961,1.668628,0.0,0.0,0.88318801,10.831794,1,1,1
"TILAPIA, FRESH, TEMPERED",91.452301,1.564873,1.046944,0.0,0.0,5.3275747,9.4362202,1,1,1
"TILAPIA, FRESH, TEMPERED & BOILED",105.0985,3.251961,1.668628,0.0,0.0,5.4831877,10.831794,1,1,1
"SAILFISH, DRIED, W/ COCONUT OIL",330.29041,3.5513251,1.8298839,0.0,0.0,16.007792,42.882195,0,1,1
"SAILFISH, DRIED, TEMPERED, W/ COCONUT MILK",251.34691,3.815783,1.302888,0.0,0.0,15.66808,23.905003,0,1,1
"SAILFISH, FRESH, DEEP-FRIED",211.11029,0.0,0.0,0.0,0.0,14.755504,19.300932,0,1,1
"SEER FISH, DRIED, TEMPERED, W/ COCONUT MILK",165.2469,3.6249828,1.249688,0.0,0.0,13.19938,8.0545034,0,1,1
"SEER FISH, FRESH, DEEP-FRIED",208.0,0.0,0.0,0.0,0.0,11.1,26.9,0,1,1
"SKIPJACK TUNA, DRIED, TEMPERED, W/ COCONUT MILK",214.8414,5.3929491,1.5000269,0.0,0.0,17.200163,9.6335649,0,1,1
"SKIPJACK TUNA, DRIED, DEEP-FRIED",372.69,0.0,0.0,0.0,0.0,17.0819,55.497299,0,1,1
"SKIPJACK TUNA, FRESH, COOKED",82.0,6.3,0.0,0.0,0.0,1.04,12.3,0,1,1
"SKIPJACK TUNA, FRESH, DEEP-FRIED",233.21899,0.78879499,0.71848702,0.0,0.0,14.94234,23.637201,0,1,1
"TUNA, FRESH, DEEP-FRIED",244.16521,0.0,0.0,0.0,0.0,18.003094,19.959444,0,1,1
"SKIPJACK TUNA, DRIED, TEMPERED",270.5838,5.4839292,2.643693,0.0,0.0,12.419571,34.640537,0,1,1
"SAILFISH, FRESH, BOILED, W/ COCONUT MILK",156.7149,4.1620331,1.36043,0.0,0.0,11.25411,9.6210346,0,1,1
"SEER FISH, FRESH, BOILED, W/ COCONUT MILK",92.0,3.5,0.0,0.0,0.0,3.9,11.1,0,1,1
"TUNA, DRIED, TEMPERED",270.5838,5.4839292,2.643693,0.0,0.0,12.419571,34.640537,0,1,1
"TUNA, FRESH, BOILED",75.185501,3.251961,1.668628,0.0,0.0,2.141288,10.503594,0,1,1
"TUNA, FRESH, BOILED, W/ COCONUT MILK",163.34491,4.1620331,1.36043,0.0,0.0,11.50911,10.559435,0,1,1
"EMPEROR FISH (VILAI), FRESH, BOILED, W/ COCONUT MILK",165.3849,4.1620331,1.36043,0.0,0.0,10.76451,12.890135,0,1,1
"EMPEROR FISH (VILAI), FRESH, BOILED & TEMPERED, W/ COCONUT MILK",221.2449,4.4370327,1.36043,0.0,0.0,16.592911,13.454135,0,1,1
"EMPEROR FISH (VILAI), FRESH, TEMPERED, W/ COCONUT MILK",221.2449,4.4370327,1.36043,0.0,0.0,16.592911,13.454135,0,1,1
"SILVER-BIDDY, FRESH, BOILED, W/ COCONUT MILK",156.71004,4.1620331,1.36043,0.0,0.0,10.614073,11.360642,1,1,1
"RABBIT FISH, FRESH, BOILED, W/ COCONUT MILK",156.71004,4.1620331,1.36043,0.0,0.0,10.614073,11.360642,0,1,1
"SEA FISH, LARGE, NFS, FRESH, BOILED, W/ COCONUT MILK",153.06285,4.0925612,1.266714,0.0,0.0,10.213167,11.387767,0,1,1
"MURAL (HALFBEAK), FRESH, BOILED, W/ COCONUT MILK",157.6487,4.0925612,1.266714,0.0,0.0,10.60254,11.41271,1,1,1
"RIVER FISH, LARGE, NFS, FRESH, BOILED, W/ COCONUT MILK",153.06285,4.0925612,1.266714,0.0,0.0,10.213167,11.387767,0,1,1
"FISH, LARGE, NFS, DRIED, TEMPERED",259.02405,5.604393,2.7949731,0.0,0.0,12.832444,30.537756,0,1,1
"ASIAN SEA BASS, FRESH, BOILED, W/ COCONUT MILK",140.8517,4.0925612,1.266714,0.0,0.0,9.5336399,9.2647305,1,1,1
"SEA FISH, LARGE, NFS, FRESH, BOILED",86.897667,3.9197609,1.854828,0.0,0.0,1.4743705,14.786497,0,1,1
"AVELEMEEN (MULLET), FRESH, BOILED, W/ COCONUT MILK",153.06285,4.0925612,1.266714,0.0,0.0,10.213167,11.387767,1,1,1
"FISH, LARGE, NFS, DRIED, W/ COCONUT MILK",188.18414,4.0925612,1.266714,0.0,0.0,10.667101,19.145929,0,1,1
"FISH, LARGE, NFS, DRIED, FRIED",365.9469,0.0,0.0,0.0,0.0,17.534277,52.577297,0,1,1
"FISH, LARGE, NFS, FRESH, TEMPERED, W/ COCONUT MILK",180.42563,4.3735299,1.41794,0.0,0.0,13.543042,10.428298,0,1,1
"FISH, LARGE, NFS, FRESH, TEMPERED",170.64497,6.8315539,3.0341311,0.0,0.0,9.8448734,13.794909,0,1,1
"FISH, LARGE, NFS, FRESH, FRIED",216.81952,0.0,0.0,0.0,0.0,14.757527,21.396095,0,1,1
"FISH, LARGE, NFS, FRESH, COOK METHOD NFS",160.63315,3.6170714,1.4971792,0.0,0.0,9.9684992,14.35137,0,1,1
"FISH, NFS, DRIED, FRIED",346.92615,0.0,0.0,0.0,0.0,18.658144,44.762211,0,1,1
"FISH, NFS, DRIED, W/ COCONUT MILK",185.41251,4.0925612,1.266714,0.0,0.0,11.124495,17.245665,0,1,1
"FISH, NFS, DRIED, COOK METHOD NFS",266.16934,2.0462806,0.63335699,0.0,0.0,14.891319,31.003939,0,1,1
"FISH, NFS, FRESH, BOILED",91.516418,3.9197609,1.854828,0.0,0.0,2.0904799,14.497057,0,1,1
"FISH, NFS, FRESH, FRIED",223.90546,0.0,0.0,0.0,0.0,15.702744,20.952044,0,1,1
"FISH, NFS, FRESH, TEMPERED",174.64532,6.8315539,3.0341311,0.0,0.0,10.378491,13.544222,0,1,1
"FISH, NFS, FRESH, W/ COCONUT MILK",156.34171,4.0925612,1.266714,0.0,0.0,10.650544,11.182292,0,1,1
"FISH, NFS, FRESH, TEMPERED, W/ COCONUT MILK",183.38176,4.3735299,1.41794,0.0,0.0,13.937369,10.243048,0,1,1
"FISH, NFS, FRESH, COOK METHOD NFS",165.02129,3.6170714,1.4971792,0.0,0.0,10.553845,14.076381,0,1,1
"FISH, SMALL, NFS, FRESH, BOILED",105.23145,3.9197609,1.854828,0.0,0.0,3.9199686,13.637585,0,1,1
"FISH, SMALL, NFS, FRESH, FRIED",244.94666,0.0,0.0,0.0,0.0,18.509491,19.633469,0,1,1
"FISH, SMALL, NFS, DRIED, MALLUM, TEMPERED, W/ SCRAPED COCONUT",227.66682,4.206244,3.3039961,0.0,0.0,10.644944,28.352234,0,1,1
"FISH, SMALL, NFS, FRESH, W/ COCONUT MILK",166.07803,4.0925612,1.266714,0.0,0.0,11.949303,10.572151,0,1,1
"FISH, SMALL, NFS, FRESH, COOK METHOD NFS",172.09203,2.6722817,1.0415961,0.0,0.0,11.459613,14.614378,0,1,1
"CLAMS, FRESH, TEMPERED, W/ COCONUT MILK",149.0,4.8,1.335,0.0,0.0,9.5,11.3,1,1,1
"CRAB, BOILED",128.0,0.0,0.0,0.0,0.0,5.5,19.5,0,1,1
"CRAB, TEMPERED",83.695503,1.564873,1.046944,0.0,0.0,5.094871,7.923645,0,1,1
"CRAB, TEMPERED, W/ COCONUT MILK",180.6749,4.2170329,1.36043,0.0,0.0,13.94131,9.6044359,0,1,1
"CUTTLE FISH, FRESH, W/ COCONUT MILK",156.0,4.2,1.1,0.0,0.0,11.3,9.7,0,1,1
"SQUID, FRESH, TEMPERED",125.6987,4.9405079,2.1786671,0.0,0.0,7.0861163,10.534639,1,1,1
"CUTTLEFISH, FRESH, TEMPERED, W/ COCONUT MILK",174.46431,4.3735299,1.41794,0.0,0.0,13.458135,8.9593611,0,1,1
"SQUID, FRESH, TEMPERED, W/ COCONUT MILK",244.0847,5.875608,1.487067,0.0,0.0,19.731516,10.716239,1,1,1
"KUNISSA SHRIMP, FRESH, TEMPERED",225.86389,8.9233294,3.2072918,0.0,0.0,15.32516,12.588754,0,1,1
"KUNISSA SHRIMP, FRESH, TEMPERED, W/ COCONUT MILK",140.0,3.4,1.5,0.0,0.0,9.4,10.6,0,1,1
"LOBSTER, FRESH, TEMPERED",94.666527,1.564873,1.046944,0.0,0.0,5.1821351,9.4653082,1,1,1
"PRAWN, FRESH, TEMPERED",225.86389,8.9233294,3.2072918,0.0,0.0,15.32516,12.588754,0,1,1
"PRAWN, FRESH, TEMPERED, W/ COCONUT MILK",140.0,3.4,1.5,0.0,0.0,9.4,10.6,0,1,1
"PRAWN, FRESH, BOILED, W/ COCONUT MILK",101.0,3.6,1.404,0.0,0.0,5.2,10.3,0,1,1
"PRAWN & POTATO, BOILED, W/ COCONUT MILK",110.377,10.851427,2.242636,0.0,0.0,5.2371812,4.781486,0,1,1
"BANANA, CAVENDISH, RIPE",97.0,23.6,1.9,0.0,0.0,0.3,1.2,1,1,1
"BANANA, KOLIKUTTU, RIPE",93.0,22.9,0.0,0.0,0.0,0.2,1.4,1,1,1
"BANANA, POOVAN, RIPE",97.0,23.4,2.3,0.0,0.0,0.3,1.5,1,1,1
"RED BANANA, RIPE",112.0,25.21,1.98,0.0,0.0,0.29,1.29,1,1,1
