Food,Calories,Protein,Fat,Carbs,Herbal_Risk,Alcohol_Risk,Iron_Rich,High_Fat,High_Protein
Wandu,205.0,2.0,1.0,46.0,False,False,False,False,False
Ada,280.0,5.0,2.0,61.0,False,False,False,False,False
Samaposha Aggala,326.0,9.8,10.4,49.0,False,False,False,True,False
Cream Bun,300.0,4.0,15.0,40.0,False,False,False,True,False
Kibula Banis,175.0,3.0,4.0,30.0,False,False,False,False,False
Saw Kanji,250.0,6.0,5.0,50.0,False,False,False,False,False
Lavariya,310.0,4.0,10.0,65.0,False,False,False,False,False
Vegetable Roll,120.0,3.0,4.0,18.0,False,False,False,False,False
Jam Paan,300.0,7.0,8.0,55.0,False,False,False,False,False
Gal Banis,400.0,7.0,13.0,65.0,False,False,False,True,False
Coconut Cake,250.0,3.0,14.0,30.0,False,False,False,True,False
Butter Cake,220.0,2.0,12.0,27.0,False,False,False,True,False
Chocolate Cake,250.0,3.0,12.0,35.0,False,False,False,True,False
Choco bar,60.0,0.5,4.0,6.0,False,False,False,False,False
Dark chocolate,282.0,3.0,18.0,29.0,False,False,False,True,False
Chocolate,104.4,0.6,5.5,12.9,False,False,False,False,False
Fruit & Nut ice cream,230.0,3.9,9.0,34.0,False,False,False,False,False
Chocolate ice cream,154.0,2.6,10.0,14.0,False,False,False,False,False
Wonder choc ice cream,206.0,2.4,14.0,18.0,False,False,False,True,False
Milk cream biscuit,56.0,0.6,2.5,8.5,False,False,False,False,False
Lemon puff,59.0,0.7,2.3,8.7,False,False,False,False,False
Marie biscuit,17.0,0.29,0.4,2.8,False,False,False,False,False
Chocolate Marie biscuit,15.0,0.3,0.4,2.8,False,False,False,False,False
Chocolate Cream Biscuit,53.0,1.0,2.0,8.0,False,False,False,False,False
Orange cream biscuit,54.0,0.6,2.0,9.0,False,False,False,False,False
Gold Marie biscuit,17.0,0.29,0.4,2.8,False,False,False,False,False
Cream cracker biscuit,37.0,0.9,1.2,6.0,False,False,False,False,False
Nice biscuit,42.0,0.63,1.6,6.6,False,False,False,False,False
Hawaiian cookie,25.6,0.32,1.1,3.5,False,False,False,False,False
Ginger Finger Biscuit,18.0,0.2,0.5,2.8,True,False,False,False,False
Custard cream biscuit,54.0,0.6,2.0,9.0,False,False,False,False,False
Batter Carol biscuit,26.0,0.4,0.75,4.2,False,False,False,False,False
Pani Murukku,46.0,0.8,0.9,7.5,False,False,False,False,False
Boondi,240.0,3.0,10.0,38.0,False,False,False,False,False
Jelly Jujub,14.0,0.0,0.0,3.4,False,False,False,False,False
Garlic Murukku,500.0,8.0,25.0,55.0,True,False,False,True,False
Murukku,550.0,9.0,38.0,50.0,False,False,False,True,False
Thala Bola,26.0,0.6,1.6,3.2,False,False,False,False,False
Yogurt,90.0,5.0,3.0,10.0,False,False,False,False,False
Kotmale Vanilla milk,124.0,3.4,3.0,21.0,False,False,False,False,False
Necto,30.0,0.0,0.0,7.3,False,False,False,False,False
Quinoa,120.0,4.0,2.0,21.0,False,False,False,False,False
Oats,150.0,5.0,3.0,27.0,False,False,False,False,False
Chicken Breast,165.0,31.0,3.6,0.0,False,False,False,False,True
Salmon,208.0,20.0,13.0,0.0,False,False,False,True,True
Tuna,132.0,29.0,0.6,0.0,False,False,False,False,True
Whole Milk,130.0,7.0,7.0,10.0,False,False,False,False,False
Skim Milk,80.0,8.0,0.0,12.0,False,False,False,False,False
Greek Yogurt,100.0,10.0,5.0,4.0,False,False,False,False,False
Apple,80.0,0.0,0.0,22.0,False,False,False,False,False
Olive Oil,120.0,0.0,14.0,0.0,False,False,False,True,False
Almonds,180.0,6.0,15.0,6.0,False,False,False,True,False
Walnuts,190.0,4.0,18.0,4.0,False,False,False,True,False
Peanut Butter,190.0,8.0,16.0,7.0,False,False,False,True,False
