generic_name,therapeutic_class,action_class,treatment_area,condition,source,confidence
fluconazole,ANTI INFECTIVES,Fungal ergosterol synthesis inhibito,Infectious Disease,Candidiasis,curated,0.95
itraconazole,ANTI INFECTIVES,Fungal ergosterol synthesis inhibito,Infectious Disease,Fungal Infection,curated,0.95
itraconazole,ANTI INFECTIVES,Fungal ergosterol synthesis inhibito,Infectious Disease,Onychomycosis,curated,0.95
terbinafine,DERM,,Infectious Disease,Fungal Infection,curated,0.95
terbinafine,DERM,,Infectious Disease,Onychomycosis,curated,0.95
acyclovir,OPHTHAL,Antiviral (Non-HIV) drug,Infectious Disease,Herpes Simplex,curated,0.95
acyclovir,OPHTHAL,Antiviral (Non-HIV) drug,Infectious Disease,Varicella Zoster,curated,0.95
acyclovir,OPHTHAL,Antiviral (Non-HIV) drug,Infectious Disease,Viral Infection,curated,0.95
valacyclovir,ANTI INFECTIVE,,General Medicine,Herpes Simplex,curated,0.95
valacyclovir,ANTI INFECTIVE,,General Medicine,Herpes Zoster,curated,0.95
clotrimazole,DERM,,Infectious Disease,Fungal Skin Infection,curated,0.95
clotrimazole,DERM,,Infectious Disease,Candidiasis,curated,0.95
griseofulvin,ANTI INFECTIVES,Antifungal Other,Infectious Disease,Dermatophyte Infection,curated,0.95
artesunate,ANTI MALARIALS,Antimalarial- Artemisinin and derivative,General Medicine,Malaria,curated,0.95
gentamicin,OPHTHAL OTOLOGICALS,Aminoglycoside,Infectious Disease,Bacterial Infection,curated,0.95
gentamicin,OPHTHAL OTOLOGICALS,Aminoglycoside,Infectious Disease,Eye Infection,curated,0.95
gentamicin,OPHTHAL OTOLOGICALS,Aminoglycoside,Infectious Disease,Ear Infection,curated,0.95
diethylcarbamazine,ANTI INFECTIVE,,General Medicine,Filariasis,curated,0.95
diethylcarbamazine,ANTI INFECTIVE,,General Medicine,Lymphatic Filariasis,curated,0.95
tigecycline,ANTI INFECTIVES,Tetracycline,Infectious Disease,Complicated Skin Infection,curated,0.95
tigecycline,ANTI INFECTIVES,Tetracycline,Infectious Disease,Intra-Abdominal Infection,curated,0.95
praziquantel,ANTI INFECTIVES,Antiprotozoal agent,Infectious Disease,Schistosomiasis,curated,0.95
praziquantel,ANTI INFECTIVES,Antiprotozoal agent,Infectious Disease,Tapeworm Infection,curated,0.95
garenoxacin,ANTI INFECTIVES,Quinolones/ Fluroquinolone,Infectious Disease,Bacterial Infection,curated,0.95
garenoxacin,ANTI INFECTIVES,Quinolones/ Fluroquinolone,Infectious Disease,Respiratory Infection,curated,0.95
faropenem,ANTI INFECTIVE,,Infectious Disease,Bacterial Infection,curated,0.95
carbamazepine,NEURO CNS,Sodium channel modulators (AED,Neurology,Epilepsy,curated,0.95
carbamazepine,NEURO CNS,Sodium channel modulators (AED,Neurology,Trigeminal Neuralgia,curated,0.95
carbamazepine,NEURO CNS,Sodium channel modulators (AED,Neurology,Bipolar Disorder,curated,0.95
oxcarbazepine,NEURO CNS,Sodium channel modulators (AED,Neurology,Epilepsy,curated,0.95
oxcarbazepine,NEURO CNS,Sodium channel modulators (AED,Neurology,Seizure Disorder,curated,0.95
zonisamide,NEURO CNS,Brain carbonic anhydrase inhibitor,Neurology,Epilepsy,curated,0.95
sertraline,NEURO CNS,Selective Seretonin Reuptake inhibitors (SSRIs,Psychiatry,Depression,curated,0.95
sertraline,NEURO CNS,Selective Seretonin Reuptake inhibitors (SSRIs,Psychiatry,Anxiety,curated,0.95
sertraline,NEURO CNS,Selective Seretonin Reuptake inhibitors (SSRIs,Psychiatry,OCD,curated,0.95
sertraline,NEURO CNS,Selective Seretonin Reuptake inhibitors (SSRIs,Psychiatry,PTSD,curated,0.95
escitalopram oxalate,NEURO CNS,Selective Seretonin Reuptake inhibitors (SSRIs,Psychiatry,Depression,curated,0.95
escitalopram oxalate,NEURO CNS,Selective Seretonin Reuptake inhibitors (SSRIs,Psychiatry,Generalized Anxiety Disorder,curated,0.95
paroxetine,NEURO CN,,Psychiatry,Depression,curated,0.95
paroxetine,NEURO CN,,Psychiatry,Anxiety,curated,0.95
paroxetine,NEURO CN,,Psychiatry,Panic Disorder,curated,0.95
paroxetine,NEURO CN,,Psychiatry,OCD,curated,0.95
fluoxetine,NEURO CNS,Selective Seretonin Reuptake inhibitors (SSRIs,Psychiatry,Depression,curated,0.95
fluoxetine,NEURO CNS,Selective Seretonin Reuptake inhibitors (SSRIs,Psychiatry,OCD,curated,0.95
fluoxetine,NEURO CNS,Selective Seretonin Reuptake inhibitors (SSRIs,Psychiatry,Bulimia Nervosa,curated,0.95
desvenlafaxine,NEURO CN,,General Medicine,Major Depressive Disorder,curated,0.95
bupropion,NEURO CNS,Norepinephrine-dopamine reuptake inhibitor (NDRI,Psychiatry,Depression,curated,0.95
bupropion,NEURO CNS,Norepinephrine-dopamine reuptake inhibitor (NDRI,Psychiatry,Smoking Cessation,curated,0.95
clonazepam,NEURO CN,,Neurology,Epilepsy,curated,0.95
clonazepam,NEURO CN,,Neurology,Panic Disorder,curated,0.95
clonazepam,NEURO CN,,Neurology,Anxiety,curated,0.95
alprazolam,NEURO CN,,Psychiatry,Anxiety,curated,0.95
alprazolam,NEURO CN,,Psychiatry,Panic Disorder,curated,0.95
lorazepam,NEURO CNS,Benzodiazepine,Psychiatry,Anxiety,curated,0.95
lorazepam,NEURO CNS,Benzodiazepine,Psychiatry,Insomnia,curated,0.95
lorazepam,NEURO CNS,Benzodiazepine,Psychiatry,Seizure,curated,0.95
diazepam,NEURO CNS,Benzodiazepine,Psychiatry,Anxiety,curated,0.95
diazepam,NEURO CNS,Benzodiazepine,Psychiatry,Muscle Spasm,curated,0.95
diazepam,NEURO CNS,Benzodiazepine,Psychiatry,Seizure,curated,0.95
zolpidem,NEURO CNS,Non-benzodiazepine hypnotics (Z Compounds,General Medicine,Insomnia,curated,0.95
zopiclone,NEURO CNS,Non-benzodiazepine hypnotics (Z Compounds,General Medicine,Insomnia,curated,0.95
melatonin,NEURO CN,,General Medicine,Insomnia,curated,0.95
melatonin,NEURO CN,,General Medicine,Sleep Disorder,curated,0.95
risperidone,NEURO CN,,General Medicine,Schizophrenia,curated,0.95
risperidone,NEURO CN,,General Medicine,Bipolar Disorder,curated,0.95
clozapine,NEURO CN,,General Medicine,Schizophrenia,curated,0.95
ziprasidone,NEURO CNS,Atypical Antipsychotic,General Medicine,Schizophrenia,curated,0.95
ziprasidone,NEURO CNS,Atypical Antipsychotic,General Medicine,Bipolar Disorder,curated,0.95
flunarizine,NEURO CNS,Calcium channel blocker- migraine preventio,General Medicine,Migraine Prevention,curated,0.95
flunarizine,NEURO CNS,Calcium channel blocker- migraine preventio,General Medicine,Vertigo,curated,0.95
betahistine,NEURO CNS,Histamine analog- Meniere,General Medicine,Vertigo,curated,0.95
betahistine,NEURO CNS,Histamine analog- Meniere,General Medicine,Ménière's Disease,curated,0.95
zolmitriptan,NEURO CNS,Triptans (5HT 1B/1D Agonist,General Medicine,Migraine,curated,0.95
cinnarizine,NEURO CN,,General Medicine,Vertigo,curated,0.95
cinnarizine,NEURO CN,,General Medicine,Motion Sickness,curated,0.95
safinamide,NEURO CN,,General Medicine,Parkinson's Disease,curated,0.95
pantoprazole,GASTRO INTESTINAL,Proton pump inhibitor,Gastroenterology,GERD,curated,0.95
pantoprazole,GASTRO INTESTINAL,Proton pump inhibitor,Gastroenterology,Peptic Ulcer,curated,0.95
pantoprazole,GASTRO INTESTINAL,Proton pump inhibitor,Gastroenterology,Acid Reflux,curated,0.95
omeprazole,GASTRO INTESTINAL,Proton pump inhibitor,Gastroenterology,GERD,curated,0.95
omeprazole,GASTRO INTESTINAL,Proton pump inhibitor,Gastroenterology,Peptic Ulcer,curated,0.95
rabeprazole,GASTRO INTESTINAL,Proton pump inhibitor,Gastroenterology,GERD,curated,0.95
rabeprazole,GASTRO INTESTINAL,Proton pump inhibitor,Gastroenterology,Peptic Ulcer,curated,0.95
esomeprazole,GASTRO INTESTINAL,Proton pump inhibitor,Gastroenterology,GERD,curated,0.95
esomeprazole,GASTRO INTESTINAL,Proton pump inhibitor,Gastroenterology,Peptic Ulcer,curated,0.95
ranitidine,GASTRO INTESTINAL,H2 Receptor Blocke,Gastroenterology,GERD,curated,0.95
ranitidine,GASTRO INTESTINAL,H2 Receptor Blocke,Gastroenterology,Peptic Ulcer,curated,0.95
ranitidine,GASTRO INTESTINAL,H2 Receptor Blocke,Gastroenterology,Gastritis,curated,0.95
domperidone,GASTRO INTESTINA,,General Medicine,Nausea,curated,0.95
domperidone,GASTRO INTESTINA,,General Medicine,Gastroparesis,curated,0.95
ondansetron,GASTRO INTESTINAL,Serotonin antagonists (5-HT3 antagonists,General Medicine,Nausea,curated,0.95
ondansetron,GASTRO INTESTINAL,Serotonin antagonists (5-HT3 antagonists,General Medicine,Vomiting,curated,0.95
ondansetron,GASTRO INTESTINAL,Serotonin antagonists (5-HT3 antagonists,General Medicine,Chemotherapy-Induced Nausea,curated,0.95
racecadotril,GASTRO INTESTINAL,Enkephalinase inhibito,General Medicine,Acute Diarrhea,curated,0.95
sodium picosulfate,GASTRO INTESTINAL,Stimulant laxatives/purgativ,General Medicine,Constipation,curated,0.95
misoprostol,GASTRO INTESTINAL,Prostaglandin E1 (PGE1) analogue-obstetric,General Medicine,NSAID-Induced Ulcer,curated,0.95
misoprostol,GASTRO INTESTINAL,Prostaglandin E1 (PGE1) analogue-obstetric,General Medicine,Labor Induction,curated,0.95
levosulpiride,GASTRO INTESTINA,,General Medicine,Dyspepsia,curated,0.95
levosulpiride,GASTRO INTESTINA,,General Medicine,Gastroparesis,curated,0.95
dicyclomine,PAIN ANALGESIC,,General Medicine,IBS,curated,0.95
dicyclomine,PAIN ANALGESIC,,General Medicine,Abdominal Cramp,curated,0.95
cetirizine,RESPIRATOR,,General Medicine,Allergic Rhinitis,curated,0.95
cetirizine,RESPIRATOR,,General Medicine,Urticaria,curated,0.95
cetirizine,RESPIRATOR,,General Medicine,Allergy,curated,0.95
levocetirizine,RESPIRATOR,,General Medicine,Allergic Rhinitis,curated,0.95
levocetirizine,RESPIRATOR,,General Medicine,Urticaria,curated,0.95
fexofenadine,RESPIRATORY,H1 Antihistaminics (second Generation,General Medicine,Allergic Rhinitis,curated,0.95
fexofenadine,RESPIRATORY,H1 Antihistaminics (second Generation,General Medicine,Urticaria,curated,0.95
chlorpheniramine maleate,RESPIRATOR,,General Medicine,Allergy,curated,0.95
chlorpheniramine maleate,RESPIRATOR,,General Medicine,Common Cold,curated,0.95
montelukast,RESPIRATOR,,Respiratory,Asthma,curated,0.95
montelukast,RESPIRATOR,,Respiratory,Allergic Rhinitis,curated,0.95
acebrophylline,RESPIRATOR,,Respiratory,Asthma,curated,0.95
acebrophylline,RESPIRATOR,,Respiratory,COPD,curated,0.95
ambroxol,RESPIRATOR,,General Medicine,Productive Cough,curated,0.95
ambroxol,RESPIRATOR,,General Medicine,Bronchitis,curated,0.95
bromhexine,RESPIRATOR,,General Medicine,Productive Cough,curated,0.95
bromhexine,RESPIRATOR,,General Medicine,Bronchitis,curated,0.95
levocloperastine,RESPIRATORY,Cough suppressant,General Medicine,Dry Cough,curated,0.95
phenylephrine,RESPIRATOR,,General Medicine,Nasal Congestion,curated,0.95
phenylephrine,RESPIRATOR,,General Medicine,Common Cold,curated,0.95
xylometazoline,RESPIRATORY,Sympthatomimmetics- alpha 1 (Nasal,General Medicine,Nasal Congestion,curated,0.95
oxymetazoline,RESPIRATORY,Sympthatomimmetics- alpha 1 (Nasal,General Medicine,Nasal Congestion,curated,0.95
diphenhydramine,RESPIRATOR,,General Medicine,Allergy,curated,0.95
diphenhydramine,RESPIRATOR,,General Medicine,Insomnia,curated,0.95
diphenhydramine,RESPIRATOR,,General Medicine,Cough,curated,0.95
warfarin,CARDIAC,Vitamin K antagonist,General Medicine,Deep Vein Thrombosis,curated,0.95
warfarin,CARDIAC,Vitamin K antagonist,General Medicine,Pulmonary Embolism,curated,0.95
warfarin,CARDIAC,Vitamin K antagonist,General Medicine,Atrial Fibrillation,curated,0.95
aspirin,CARDIA,,Pain Management,Cardiovascular Prevention,curated,0.95
aspirin,CARDIA,,Pain Management,Pain,curated,0.95
aspirin,CARDIA,,Pain Management,Fever,curated,0.95
aspirin,CARDIA,,Pain Management,Anti-Platelet Therapy,curated,0.95
clopidogrel,BLOOD RELATED,P2Y12 inhibitors (ADP receptor,General Medicine,Cardiovascular Prevention,curated,0.95
clopidogrel,BLOOD RELATED,P2Y12 inhibitors (ADP receptor,General Medicine,Anti-Platelet Therapy,curated,0.95
heparin,BLOOD RELATED,Unfractionated Heparin (UFH,General Medicine,Deep Vein Thrombosis,curated,0.95
heparin,BLOOD RELATED,Unfractionated Heparin (UFH,General Medicine,Pulmonary Embolism,curated,0.95
recombinant human erythropoietin alfa,BLOOD RELATED,Erythropoiesis-stimulating agent (ESA,Hematology,Anemia,curated,0.95
recombinant human erythropoietin alfa,BLOOD RELATED,Erythropoiesis-stimulating agent (ESA,Hematology,Chronic Kidney Disease-Related Anemia,curated,0.95
darbepoetin alfa,BLOOD RELATED,Erythropoiesis-stimulating agent (ESA,Hematology,Anemia,curated,0.95
methylprednisolone,HORMONES,Glucocorticoid,General Medicine,Inflammation,curated,0.95
methylprednisolone,HORMONES,Glucocorticoid,General Medicine,Autoimmune Disease,curated,0.95
methylprednisolone,HORMONES,Glucocorticoid,General Medicine,Allergic Reaction,curated,0.95
deflazacort,HORMONE,,General Medicine,Inflammation,curated,0.95
deflazacort,HORMONE,,General Medicine,Autoimmune Disease,curated,0.95
levothyroxine,,,General Medicine,Hypothyroidism,curated,0.95
progesterone,GYNAECOLOGICAL,Natural Progesteron,General Medicine,Hormonal Support,curated,0.95
progesterone,GYNAECOLOGICAL,Natural Progesteron,General Medicine,Menstrual Disorder,curated,0.95
progesterone,GYNAECOLOGICAL,Natural Progesteron,General Medicine,Pregnancy Support,curated,0.95
dydrogesterone,GYNAECOLOGICAL,Progestins (First generation,General Medicine,Progesterone Deficiency,curated,0.95
dydrogesterone,GYNAECOLOGICAL,Progestins (First generation,General Medicine,Menstrual Disorder,curated,0.95
somatropin,HORMONES,Growth hormone agonis,General Medicine,Growth Hormone Deficiency,curated,0.95
